stock,trades,total_return,ann_return,sharpe,max_drawdown
603882.SH,24,0.029152012143718764,0.00409253882197147,-0.11183200438572378,-0.3112190819045832
603075.SH,5,-0.06683932983339558,-0.04371525165708101,-0.3287176408464031,-0.23474179142083917
600583.SH,8,-0.36961703128584744,-0.06347928771830635,-0.5658375776749041,-0.43077721569876354
300657.SZ,26,-0.062196759853525685,-0.009121344896894645,-0.1197947911377828,-0.5517168494862555
159605.SZ,5,-0.1623185956014488,-0.052850921326933475,-0.4896867748484073,-0.25961165949411497
880860.SH,12,-0.04294385534707079,-0.006219210674017761,-1.3024025597351137,-0.05717413746954248
880571.SH,8,0.018592353335269873,0.0026217332622200384,-0.7999271038899467,-0.02999414606925883
002971.SZ,12,-0.007062027847627439,-0.0013953857161810301,-0.1029367203301355,-0.3807142674084342
002188.SZ,14,0.7592557009166812,0.08434282371747903,0.26344426385211145,-0.5131252467606068
123211.SZ,0,0.0,0.0,0.0,0.0
159918.SZ,21,0.08531385696156057,0.011955138946435628,-0.055353619816258526,-0.424482658082634
160625.SZ,7,-0.05073348272572242,-0.012621082502472514,-0.29265075976016597,-0.17602098341977523
603682.SH,7,-0.00819363824262287,-0.0017049666427324528,-0.09960214371475162,-0.40076335877862607
002476.SZ,13,-0.14530877981444534,-0.022069676952522155,-0.19841494837081475,-0.4542512667742225
601128.SH,10,0.03817618134145606,0.005339249210029484,-0.10219942908728595,-0.3540579060593294
600999.SH,20,0.1018125996555459,0.013923473850083301,-0.03887886468293783,-0.29119304811475627
688595.SH,13,-0.19797992786013097,-0.04902568255555273,-0.4343248224118963,-0.3701777773786655
881211.SH,13,-0.06016396228521359,-0.008780491913444544,-1.2272892094946997,-0.08477565304524036
301227.SZ,10,0.24967272394685858,0.09434323065285977,0.4459483712246051,-0.1741233042015576
000598.SZ,7,0.008237648441751455,0.0011667172314551166,-0.22814164847890533,-0.20527056663399507
127084.SZ,0,0.0,0.0,0.0,0.0
881342.SH,10,-0.08346310923072187,-0.012310817009097974,-0.7109977409035106,-0.13369038388860702
600105.SH,19,0.4615838507216512,0.05542341237205295,0.09130497090626968,-0.7204005166795989
512730.SH,7,-0.04305954971322423,-0.008722836801517309,-0.46649622681240066,-0.13315661366654977
605116.SH,13,-0.11922868294181799,-0.028386110013382093,-0.21605800435064604,-0.32125712706176357
160416.SZ,13,-0.14355781736967954,-0.021785174514321937,-0.29423320101671085,-0.22911694510739863
688267.SH,12,0.11758987564877366,0.03685940248681718,0.12543345651529902,-0.22325500143532995
000055.SZ,8,-0.02297135502982539,-0.0032975997958460956,-0.12411799601674306,-0.4823734663813589
301558.SZ,4,-0.041505488261090684,-0.027938227281608108,-0.1474478618505169,-0.35157774677434134
880691.SH,2,0.05809290047830662,0.04312960702392754,0.876929966552392,0.0
180605.SZ,0,0.0,0.0,0.0,0.0
880818.SH,5,0.1081217606759306,0.03754218434481804,0.32670866975853,-0.027937784514055996
123092.SZ,0,0.0,0.0,0.0,0.0
513890.SH,7,-0.0330852260770963,-0.010715391905242289,-0.18514817563595443,-0.3031341957144268
300302.SZ,23,0.06674671573408597,0.009305037802896932,-0.030422348543825146,-0.46966881481521666
600818.SH,25,0.033577260133566655,0.004775254885010849,-0.05728445065220065,-0.6031684421460175
160722.SZ,14,-0.09553000822715152,-0.0202144816455897,-0.21610243584036767,-0.33852843737280475
881383.SH,6,0.008763336304616454,0.001240893698077894,-0.8780434106435675,-0.04106328208084444
881231.SH,12,0.05965561764061689,0.008269697236167994,-0.886564924779766,-0.015896617895097966
000009.SH,3,0.014645699284039582,0.0020686627808663705,-1.125316720771084,-0.032391786160206916
562970.SH,1,0.12743362831858396,0.3066747691249234,1.0910278979975863,-0.14390243902439032
880468.SH,13,0.20143849063138486,0.026427166140574165,0.09391159754166686,-0.039157678947667
000791.SZ,10,-0.43521928819427447,-0.0783749611818918,-0.4924203960954559,-0.5758502599840841
600601.SH,9,-0.050534029333717534,-0.007359786160917592,-0.14707038084290106,-0.36835742934998933
516930.SH,6,-0.24153500580613807,-0.07521159624639284,-1.2664350883652473,-0.25763051156897127
301004.SZ,14,0.28852354096251753,0.07118279577730968,0.3010470576357114,-0.25257846116266075
002377.SZ,7,-0.5460214458243893,-0.10651301345398789,-0.7507655116032453,-0.5949275631481019
301028.SZ,8,0.597595970964605,0.13820668692529825,0.5216397236638941,-0.22942277761486937
002749.SZ,20,0.43999214559232724,0.05319317920681299,0.17725092077289295,-0.2590495232579373
002877.SZ,16,-0.49706239246196815,-0.09306615387438,-0.428319083899608,-0.5990180401901676
880410.SH,4,0.022586282025484294,0.0031795602834743253,-1.0929731155148519,-0.024134683305862967
002577.SZ,22,-0.11669630436549205,-0.017482002607759894,-0.13435790197443903,-0.6384727014886374
881271.SH,12,0.005054692207951517,0.0007168806120876337,-0.9640249818936917,-0.04194382736479381
159302.SZ,1,0.009923664122137632,0.01628993588761496,-0.06481912317516424,-0.04932735426008963
161217.SZ,13,0.17223181102037133,0.024871867945809978,0.026662695444871657,-0.3074503880634345
301601.SZ,0,0.0,0.0,0.0,0.0
881186.SH,7,0.002598741691431261,0.0003689532365023229,-2.5253189671524443,-0.01390622130899952
603706.SH,20,-0.12437966250544841,-0.020093331894439515,-0.1850207050489575,-0.4223365569657604
300530.SZ,21,-0.38940387806007826,-0.06816011821645684,-0.3090490108295935,-0.7429970933789026
881381.SH,9,0.009026432420775166,0.0012780050651255426,-1.0023323678421638,-0.03300580310557261
300344.SZ,17,-0.9685869481434106,-0.3962897343066354,-0.6499268178613805,-0.9756681425539824
520830.SH,1,0.007675438596491224,0.010301772551464694,-0.19314405822440076,-0.034297963558413885
603068.SH,25,-0.25894155457762724,-0.0503091754240963,-0.3709334491329406,-0.3785966011745169
600808.SH,8,-0.3399206332109348,-0.05733182627420641,-0.5747578477813882,-0.4674478270055018
605339.SH,15,-0.028090517336374576,-0.0074824685489329745,-0.135112428217497,-0.3788278604463764
881016.SH,10,0.04777781777130108,0.00665557139004469,-0.40881469855117597,-0.0631346114713116
688221.SH,19,-0.10312410278028028,-0.024848558904913998,-0.13613173912912108,-0.6626997454802196
301162.SZ,14,-0.03906380467267412,-0.013773752206726497,-0.11552276232428102,-0.3476822607621145
300751.SZ,11,0.0016888173729077138,0.00027157136240574253,-0.40077499789495075,-0.0870051275339497
002486.SZ,9,-0.0012122315678491091,-0.00017346262816275715,-0.11360701347386619,-0.2326377620562082
600057.SH,13,1.0184226902104143,0.1049737893178726,0.5080589770430634,-0.29683850074355583
000821.SZ,19,-0.23157642168109582,-0.036767732793634766,-0.2146245570050045,-0.5926319817315022
300844.SZ,15,0.27207958859528847,0.070188801617183,0.21082331414046981,-0.17817327516903383
300672.SZ,18,-0.25005313147250874,-0.04052163091969152,-0.42161618169765286,-0.3810399624775537
000503.SZ,20,-0.3834722365779847,-0.06716476279857964,-0.3467720920579998,-0.7150396148432819
002608.SZ,10,-0.14242428787024197,-0.021601260678497547,-0.3232201465467405,-0.3328991562983231
002392.SZ,11,-0.152028219787945,-0.02316613688929814,-0.25550087138523614,-0.38650775936189824
300824.SZ,12,-0.21747412846140823,-0.051234528086999465,-0.20328794010119944,-0.5155709342560554
002548.SZ,20,0.6466705382529407,0.0738938821699624,0.18918836340119863,-0.47439185958626845
001256.SZ,10,0.2678852222973924,0.10902523202456083,0.24504793466477492,-0.37982832618025747
588460.SH,5,-0.13875299721381928,-0.06546094094439725,-0.5790035934121794,-0.18148532998104913
002605.SZ,24,1.8169866736640463,0.15858740504281243,0.5540514300520667,-0.36913799886253434
880951.SH,7,0.01406143365119883,0.001986629042803667,-1.1639185056329189,-0.02516989581018817
300980.SZ,17,-0.22980527523654193,-0.06545516858120304,-0.2930589798087899,-0.556549951820364
501211.SH,1,0.0320077594568382,0.01407624693137377,-0.1797684868614535,-0.028301886792452647
880399.SH,2,-0.03812183923712276,-0.005509082107478691,-2.1197366809820957,-0.0401316278834466
300571.SZ,24,0.5153723999885746,0.061036042768813026,0.23742745515658514,-0.253642694591016
881380.SH,9,0.029786308945199957,0.004180474224424469,-1.6633289674927183,-0.013333820248432014
688697.SH,13,-0.32869485826386,-0.10914138523962191,-0.5131472678648547,-0.5225923498840633
301067.SZ,10,-0.02322450863561465,-0.006798911944930541,-0.08961827334551704,-0.4404104183109708
688702.SH,5,0.12006607983060125,0.07662789853277707,0.5141790913407489,-0.06610526315789474
603225.SH,23,-0.13329560605556046,-0.020127697248737086,-0.15495649374150247,-0.35867511113136263
300152.SZ,13,-0.2329739276098196,-0.03764239615582332,-0.16228560337586442,-0.6640706328376563
003031.SZ,13,0.1028822592455576,0.02417688985876776,0.015755305240771827,-0.36405855127298203
111015.SH,1,0.004999956063654887,0.0030113418593946673,-3.7331723593308137,-0.0007996414794246084
603958.SH,18,-0.4847117442677752,-0.0911592473994326,-0.39904238541294373,-0.7230888706702409
600408.SH,10,0.6072373802745858,0.0698926570909637,0.22020627244727117,-0.43951448793135306
603716.SH,19,0.6960117721677894,0.07811341051518306,0.17748723794505317,-0.4777082131649717
603317.SH,15,0.5626219054811017,0.07997559897609396,0.35315602711213034,-0.19980539331666416
688576.SH,7,-0.19566787155644527,-0.11314018233198131,-1.1842299533390248,-0.22245620868205954
002311.SZ,25,0.2978540880574727,0.03775065692995372,0.1779805691082001,-0.28646648794899277
113067.SH,0,0.0,0.0,0.0,0.0
002423.SZ,13,-0.328855104962242,-0.05802820894091898,-0.444425573631429,-0.36178962911619184
603132.SH,7,-0.06576556189714233,-0.022017659485572327,-0.20499360862341776,-0.38868197669531585
600084.SH,10,0.3887811489971622,0.05105825500540617,0.17030606068394363,-0.2140848549049567
123196.SZ,1,0.010295849945632707,0.005518987436447853,-1.843435287658922,-0.0004077564334902854
301176.SZ,7,-0.17283615037267608,-0.07411107753995583,-0.5182681772059289,-0.3028095633213053
300173.SZ,11,-0.5453714383947852,-0.11278308167173967,-0.3771109521541429,-0.6381417896951281
300149.SZ,18,-0.14986574632936323,-0.023134921325783542,-0.12310754064730889,-0.7031430239895256
881331.SH,9,-0.03556893811960504,-0.005134357102230425,-0.9606853317727988,-0.058307695669088395
688170.SH,14,-0.3786906389805701,-0.15266051434660377,-0.6843275717470149,-0.40323948536936166
